"","event","event_size","datetime","actor"
"39","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#ankleEvent","20","2010-04-30","http://dbpedia.org/resource/Wayne_Rooney"
"40","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#gashEvent","28","2010-04-30","http://dbpedia.org/resource/Wayne_Rooney"
"41","http://www.theguardian.com/football/blog/2010/may/01/john-terry-chelsea-struggles#leadEvent","24","2010-04-30","http://dbpedia.org/resource/Wayne_Rooney"
"43","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-90P1-2RGX-T0XM.xml#winEvent","13","2010-04-29","http://dbpedia.org/resource/Fredy_Montero"
"44","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-RK71-2R6N-601C.xml#leaveEvent","8","2010-04-29","http://dbpedia.org/resource/Gunnar_Nielsen_(footballer)"
"45","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-K2F0-YBF8-H53T.xml#fanEvent","96","2010-04-29","http://dbpedia.org/resource/Kaká"
"46","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-K2F0-YBF8-H53T.xml#dedicateEvent","22","2010-04-29","http://dbpedia.org/resource/Kaká"
"47","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-K2F0-YBF8-H53T.xml#nameEvent","30","2010-04-29","http://dbpedia.org/resource/Kaká"
"48","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-K2F0-YBF8-H53T.xml#sensationEvent","20","2010-04-29","http://dbpedia.org/resource/Kaká"
"49","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-BBT0-Y9NS-B2FM.xml#releaseEvent","8","2010-04-29","http://dbpedia.org/resource/Kaká"
"50","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-BBT0-Y9NS-B2FM.xml#scoreEvent","7","2010-04-29","http://dbpedia.org/resource/Kaká"
"51","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-G291-2PP6-N13S.xml#partEvent","6","2010-04-29","http://dbpedia.org/resource/Kaká"
"52","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-G291-2PP6-N13S.xml#takeEvent","11","2010-04-29","http://dbpedia.org/resource/Kaká"
"53","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-G291-2PP6-N13S.xml#talkEvent","10","2010-04-29","http://dbpedia.org/resource/Kaká"
"54","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#emphasiseEvent","5","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"55","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-Y7H0-Y9NT-21TV.xml#topEvent","6","2010-04-29","http://dbpedia.org/resource/Glen_Moss"
"56","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-90P1-2RGX-T0XM.xml#appealEvent","6","2010-04-29","http://dbpedia.org/resource/Franck_Ribéry"
"57","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBR-90P1-2RGX-T0XM.xml#banEvent","7","2010-04-29","http://dbpedia.org/resource/Franck_Ribéry"
"58","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBH-RK71-2R6N-601C.xml#recallEvent","7","2010-04-29","http://dbpedia.org/resource/Joe_Hart"
"59","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/29/7YBW-9VV0-YB58-K3C7.xml#getEvent","9","2010-04-29","http://dbpedia.org/resource/Siboniso_Gaxa"
"60","http://www.newsreader-project.eu/LNdata/hackathon/2013/03/15/57YS-8N51-JB4B-V327.xml#takeEvent","417","2010-04-29","http://dbpedia.org/resource/Ronaldo"
