"","event","event_size","datetime","actor"
"35","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/18/7Y8B-0C61-2RR2-D3SH.xml#careEvent","9","2010-04-18","http://dbpedia.org/resource/Lucas_Neill"
"36","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/18/7Y85-N4F0-YBDY-R06D.xml#wantEvent","60","2010-04-18","http://dbpedia.org/resource/Lucas_Neill"
"37","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/18/7Y8B-0C61-2RR2-D3SH.xml#loveEvent","13","2010-04-18","http://dbpedia.org/resource/Lucas_Neill"
"38","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/17/7Y80-9VK0-Y955-20CC.xml#likesEvent","5","2010-04-17","http://dbpedia.org/resource/Lucas_Neill"
"39","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/18/7Y85-N4F0-YBDY-R06D.xml#believeEvent","8","2010-04-18","http://dbpedia.org/resource/Craig_Foster"
"40","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/17/7Y84-BK10-Y8Y1-X1DD.xml#addEvent","8","2010-04-17","http://dbpedia.org/resource/Samuel_Eto'o"
"41","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/17/7Y8J-FX60-YBWY-S0T8.xml#likesEvent","5","2010-04-17","http://dbpedia.org/resource/Lionel_Messi"
"42","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/16/7Y8M-X741-2SGB-B00H.xml#wantEvent","836","2010-04-16","http://dbpedia.org/resource/Neymar"
"43","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/16/7Y83-6851-2R4F-74XM.xml#addEvent","26","2010-04-16","http://dbpedia.org/resource/Lionel_Messi"
"44","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/15/7Y7X-1D80-Y9P6-J3FT.xml#likesEvent","5","2010-04-15","http://dbpedia.org/resource/Henk_Timmer_(footballer)"
"45","http://www.newsreader-project.eu/LNdata/hackathon/2010/04/15/7Y7W-WMP0-Y8XV-Y32T.xml#wantEvent","21","2010-04-15","http://dbpedia.org/resource/Neymar"
"46","http://www.theguardian.com/football/2010/apr/14/the-fiver-tottenham-arsenal#wantEvent","2220","2010-04-14","http://dbpedia.org/resource/Wayne_Rooney"
